breathe	breathes	breathing	breathed
revolutionize	revolutionizes	revolutionizing	revolutionized
revolutionise	revolutionises	revolutionising	revolutionised
overturn	overturns	overturning	overturned
bald	balds	balding	balded
modify	modifies	modifying	modified
sensualize	sensualizes	sensualizing	sensualized
sensualise	sensualises	sensualising	sensualised
carnalize	carnalizes	carnalizing	carnalized
carnalise	carnalises	carnalising	carnalised
barbarize	barbarizes	barbarizing	barbarized
barbarise	barbarises	barbarising	barbarised
alkalinize	alkalinizes	alkalinizing	alkalinized
alkalinise	alkalinises	alkalinising	alkalinised
mythologize	mythologizes	mythologizing	mythologized
mythologise	mythologises	mythologising	mythologised
mythicize	mythicizes	mythicizing	mythicized
mythicise	mythicises	mythicising	mythicised
allegorize	allegorizes	allegorizing	allegorized
allegorise	allegorises	allegorising	allegorised
demythologize	demythologizes	demythologizing	demythologized
demythologise	demythologises	demythologising	demythologised
bring	brings	bringing	brought
land	lands	landing	landed
secularize	secularizes	secularizing	secularized
secularise	secularises	secularising	secularised
rubberize	rubberizes	rubberizing	rubberized
rubberise	rubberises	rubberising	rubberised
rubber	rubbers	rubbering	rubbered
coarsen	coarsens	coarsening	coarsened
anodize	anodizes	anodizing	anodized
anodise	anodises	anodising	anodised
citrate	citrates	citrating	citrated
equilibrate	equilibrates	equilibrating	equilibrated
leave	leaves	leaving	leaved
impact	impacts	impacting	impacted
touch	touches	touching	touched
repercus	repercuss	repercussing	repercussed
redound	redounds	redounding	redounded
bacterize	bacterizes	bacterizing	bacterized
bacterise	bacterises	bacterising	bacterised
reverse	reverses	reversing	reversed
commutate	commutates	commutating	commutated
alchemize	alchemizes	alchemizing	alchemized
alchemise	alchemises	alchemising	alchemised
alcoholize	alcoholizes	alcoholizing	alcoholized
alcoholise	alcoholises	alcoholising	alcoholised
exchange	exchanges	exchanging	exchanged
deform	deforms	deforming	deformed
individuate	individuates	individuating	individuated
grain	grains	graining	grained
tie	ties	tying	tied
terrace	terraces	terracing	terraced
fork	forks	forking	forked
constellate	constellates	constellating	constellated
shape	shapes	shaping	shaped
form	forms	forming	formed
tabulate	tabulates	tabulating	tabulated
dimension	dimensions	dimensioning	dimensioned
strike	strikes	striking	struck
crystallize	crystallizes	crystallizing	crystallized
crystallise	crystallises	crystallising	crystallised
crystalise	crystalises	crystalising	crystalised
crystalize	crystalizes	crystalizing	crystalized
culminate	culminates	culminating	culminated
sliver	slivers	slivering	slivered
ridge	ridges	ridging	ridged
conglobate	conglobates	conglobating	conglobated
conglobe	conglobes	conglobing	conglobed
scallop	scallops	scalloping	scalloped
scollop	scollops	scolloping	scolloped
square	squares	squaring	squared
purse	purses	pursing	pursed
pooch	pooches	pooching	pooched
fall	falls	falling	fell	fallen
suspend	suspends	suspending	suspended
resuspend	resuspends	resuspending	resuspended
sober	sobers	sobering	sobered
become	becomes	becoming	became
go	goes	going	went	gone
adjust	adjusts	adjusting	adjusted
conform	conforms	conforming	conformed
adapt	adapts	adapting	adapted
readjust	readjusts	readjusting	readjusted
readapt	readapts	readapting	readapted
proportion	proportions	proportioning	proportioned
reconstruct	reconstructs	reconstructing	reconstructed
decrease	decreases	decreasing	decreased
diminish	diminishes	diminishing	diminished
lessen	lessens	lessening	lessened
shrink	shrinks	shrinking	shrunk	shrunken
shrivel	shrivels	shrivelling	shrivelled
taper	tapers	tapering	tapered
vanish	vanishes	vanishing	vanished
fly	flies	flying	flew	flown
vaporize	vaporizes	vaporizing	vaporized
increase	increases	increasing	increased
suppress	suppresses	suppressing	suppressed
augment	augments	augmenting	augmented
enlarge	enlarges	enlarging	enlarged
up	upps	upping	upped
climb	climbs	climbing	climbed
soar	soars	soaring	soared
accrue	accrues	accruing	accrued
bull	bulls	bulling	bulled
flag	flags	flagging	flagged
spike	spikes	spiking	spiked
gather	gathers	gathering	gathered
explode	explodes	exploding	exploded
irrupt	irrupts	irrupting	irrupted
pyramid	pyramids	pyramiding	pyramided
advance	advances	advancing	advanced
snowball	snowballs	snowballing	snowballed
accumulate	accumulates	accumulating	accumulated
cumulate	cumulates	cumulating	cumulated
conglomerate	conglomerates	conglomerating	conglomerated
amass	amasses	amassing	amassed
backlog	backlogs	backlogging	backlogged
accrete	accretes	accreting	accreted
assimilate	assimilates	assimilating	assimilated
acculturate	acculturates	acculturating	acculturated
detribalize	detribalizes	detribalizing	detribalized
detribalise	detribalises	detribalising	detribalised
dissimilate	dissimilates	dissimilating	dissimilated
commute	commutes	commuting	commuted
rectify	rectifies	rectifying	rectified
utilize	utilizes	utilizing	utilized
capitalize	capitalizes	capitalizing	capitalized
capitalise	capitalises	capitalising	capitalised
overcapitalize	overcapitalizes	overcapitalizing	overcapitalized
overcapitalise	overcapitalises	overcapitalising	overcapitalised
transduce	transduces	transducing	transduced
replace	replaces	replacing	replaced
refurbish	refurbishes	refurbishing	refurbished
gentrify	gentrifies	gentrifying	gentrified
revamp	revamps	revamping	revamped
retread	retreads	retreading	retreaded
remold	remolds	remolding	remolded
remould	remoulds	remoulding	remoulded
restitute	restitutes	restituting	restituted
revitalise	revitalises	revitalising	revitalised
vitalize	vitalizes	vitalizing	vitalized
vitalise	vitalises	vitalising	vitalised
ruggedize	ruggedizes	ruggedizing	ruggedized
ruggedise	ruggedises	ruggedising	ruggedised
consolidate	consolidates	consolidating	consolidated
proof	proofs	proofing	proofed
bombproof	bombproofs	bombproofing	bombproofed
bulletproof	bulletproofs	bulletproofing	bulletproofed
child-proof	child-proofs	child-proofing	child-proofed
childproof	childproofs	childproofing	childproofed
goofproof	goofproofs	goofproofing	goofproofed
goof-proof	goof-proofs	goof-proofing	goof-proofed
foolproof	foolproofs	foolproofing	foolproofed
fireproof	fireproofs	fireproofing	fireproofed
weatherproof	weatherproofs	weatherproofing	weatherproofed
devitalize	devitalizes	devitalizing	devitalized
devitalise	devitalises	devitalising	devitalised
eviscerate	eviscerates	eviscerating	eviscerated
reincarnate	reincarnates	reincarnating	reincarnated
renew	renews	renewing	renewed
reform	reforms	reforming	reformed
surge	surges	surging	surged
restore	restores	restoring	restored
republish	republishes	republishing	republished
attemper	attempers	attempering	attempered
syncopate	syncopates	syncopating	syncopated
update	updates	updating	updated
qualify	qualifies	qualifying	qualified
cream	creams	creaming	creamed
enrich	enriches	enriching	enriched
redevelop	redevelops	redeveloping	redeveloped
deprive	deprives	depriving	deprived
impoverish	impoverishes	impoverishing	impoverished
fail	fails	failing	failed
disestablish	disestablishes	disestablishing	disestablished
throttle	throttles	throttling	throttled
remove	removes	removing	removed
withdraw	withdraws	withdrawing	withdrew	withdrawn
harvest	harvests	harvesting	harvested
tip	tips	tipping	tipped
stem	stems	stemming	stemmed
extirpate	extirpates	extirpating	extirpated
enucleate	enucleates	enucleating	enucleated
exenterate	exenterates	exenterating	exenterated
decorticate	decorticates	decorticating	decorticated
bail	bails	bailing	bailed
divest	divests	divesting	divested
disinvest	disinvests	disinvesting	disinvested
ablate	ablates	ablating	ablated
pick	picks	picking	picked
winnow	winnows	winnowing	winnowed
clear	clears	clearing	cleared
muck	mucks	mucking	mucked
uncloak	uncloaks	uncloaking	uncloaked
pit	pits	pitting	pitted
stone	stones	stoning	stoned
seed	seeds	seeding	seeded
unhinge	unhinges	unhinging	unhinged
shuck	shucks	shucking	shucked
hull	hulls	hulling	hulled
crumb	crumbs	crumbing	crumbed
burl	burls	burling	burled
bus	busses	bussing	bussed
scavenge	scavenges	scavenging	scavenged
hypophysectomize	hypophysectomizes	hypophysectomizing	hypophysectomized
hypophysectomise	hypophysectomises	hypophysectomising	hypophysectomised
degas	degasses	degassing	degassed
husk	husks	husking	husked
shell	shells	shelling	shelled
bur	burs	burring	burred
burr	burrs	burring	burred
unclutter	unclutters	unclutterring	unclutterred
clutter	clutters	cluttering	cluttered
clog	clogs	clogging	clogged
overload	overloads	overloading	overloaded
brim	brims	brimming	brimmed
add	adds	adding	added
adjoin	adjoins	adjoining	adjoined
include	includes	including	included
mix	mixes	mixing	mixed
dash	dashes	dashing	dashed
butylate	butylates	butylating	butylated
nitrate	nitrates	nitrating	nitrated
tank	tanks	tanking	tanked
oxygenate	oxygenates	oxygenating	oxygenated
oxygenize	oxygenizes	oxygenizing	oxygenized
oxygenise	oxygenises	oxygenising	oxygenised
aerate	aerates	aerating	aerated
mercerize	mercerizes	mercerizing	mercerized
mercerise	mercerises	mercerising	mercerised
back	backs	backing	backed
fluoridate	fluoridates	fluoridating	fluoridated
fluoridize	fluoridizes	fluoridizing	fluoridized
fluoridise	fluoridises	fluoridising	fluoridised
creosote	creosotes	creosoting	creosoted
carbonate	carbonates	carbonating	carbonated
camphorate	camphorates	camphorating	camphorated
bromate	bromates	bromating	bromated
brominate	brominates	brominating	brominated
ammoniate	ammoniates	ammoniating	ammoniated
welt	welts	welting	welted
insert	inserts	inserting	inserted
enclose	encloses	enclosing	enclosed
inclose	incloses	inclosing	inclosed
introduce	introduces	introducing	introduced
plug	plugs	pluging	pluged
inset	insets	insetting	inset
catheterize	catheterizes	catheterizing	catheterized
catheterise	catheterises	catheterising	catheterised
launder	launders	laundering	laundered
intersperse	intersperses	interspersing	interspersed
interlard	interlards	interlarding	interlarded
interleave	interleaves	interleaving	interleaved
feed	feeds	feeding	feeded
slip	slips	slipping	slipped
foist	foists	foisting	foisted
intercalate	intercalates	intercalating	intercalated
punctuate	punctuates	punctuating	punctuated
mark	marks	marking	marked
concatenate	concatenates	concatenating	concatenated
string	strings	stringing	strung
flick	flicks	flicking	flicked
activate	activates	activating	activated
biodegrade	biodegrades	biodegrading	biodegraded
inactivate	inactivates	inactivating	inactivated
deactivate	deactivates	deactivating	deactivated
reactivate	reactivates	reactivating	reactivated
blunt	blunts	blunting	blunted
obtund	obtunds	obtunding	obtunded
petrify	petrifies	petrifying	petrified
enliven	enlivens	enlivening	enlivened
liven	livens	livening	livened
spirit	spirits	spiritting	spiritted
inspirit	inspirits	inspiriting	inspirited
compound	compounds	compounding	compounded
combine	combines	combining	combined
totalize	totalizes	totalizing	totalized
totalise	totalises	totalising	totalised
recombine	recombines	recombining	recombined
milk	milks	milking	milked
dismantle	dismantles	dismantling	dismantled
denude	denudes	denuding	denuded
bare	bares	baring	bared
denudate	denudates	denudating	denudated
clear-cut	clear-cuts	clear-cutting	clear-cutted
stump	stumps	stumping	stumped
defoliate	defoliates	defoliating	defoliated
deforest	deforests	deforesting	deforested
disforest	disforests	disforesting	disforested
disafforest	disafforests	disafforesting	disafforested
frost	frosts	frosting	frosted
scald	scalds	scalding	scalded
declaw	declaws	declawing	declawed
defang	defangs	defanging	defanged
dehorn	dehorns	dehorning	dehorned
disbud	disbuds	disbudding	disbudded
bone	bones	boning	boned
debone	debones	deboning	deboned
disembowel	disembowels	disembowelling	disembowelled
tusk	tusks	tusking	tusked
detusk	detusks	detusking	detusked
scalp	scalps	scalping	scalped
moderate	moderates	moderating	moderated
mitigate	mitigates	mitigating	mitigated
lighten	lightens	lightening	lightened
restrict	restricts	restricting	restricted
remodel	remodels	remodeling	remodeled
redo	redoes	redoing	redid	redone
right	rights	righting	righted
remediate	remediates	remediating	remediated
amend	amends	amending	amended
debug	debugs	debugging	debugged
edit	edits	editing	edited
redact	redacts	redacting	redacted
blue-pencil	blue-pencils	blue-pencilling	blue-pencilled
delete	deletes	deleting	deleted
bowdlerize	bowdlerizes	bowdlerizing	bowdlerized
bowdlerise	bowdlerises	bowdlerising	bowdlerised
expurgate	expurgates	expurgating	expurgated
shorten	shortens	shortening	shortened
interpolate	interpolates	interpolating	interpolated
falsify	falsifies	falsifying	falsified
tame	tames	taming	tamed
chasten	chastens	chastening	chastened
subdue	subdues	subduing	subdued
temper	tempers	tempering	tempered
corrupt	corrupts	corrupting	corrupted
spoil	spoils	spoiling	spoilt
pervert	perverts	perverting	perverted
misuse	misuses	misusing	misused
abuse	abuses	abusing	abused
worsen	worsens	worsening	worsened
decline	declines	declining	declined
backslide	backslides	backsliding	backslidden
lose	loses	losing	lost
better	betters	bettering	bettered
improve	improves	improving	improved
ameliorate	ameliorates	ameliorating	ameliorated
meliorate	meliorates	meliorating	meliorated
brisk	brisks	brisking	brisked
brisken	briskens	briskenning	briskenned
upgrade	upgrades	upgrading	upgraded
recondition	reconditions	reconditioning	reconditioned
degrade	degrades	degrading	degraded
cheapen	cheapens	cheapening	cheapened
emend	emends	emending	emended
aggravate	aggravates	aggravating	aggravated
exacerbate	exacerbates	exacerbating	exacerbated
exasperate	exasperates	exasperating	exasperated
decay	decays	decaying	decayed
crumble	crumbles	crumbling	crumbled
dilapidate	dilapidates	dilapidating	dilapidated
decompose	decomposes	decomposing	decomposed
digest	digests	digesting	digested
dissociate	dissociates	dissociating	dissociated
molder	molders	molderring	molderred
moulder	moulders	mouldering	mouldered
hang	hangs	hanging	hung
addle	addles	addling	addled
mold	molds	molding	molded
mildew	mildews	mildewing	mildewed
dry-rot	dry-rots	dry-rotting	dry-rotted
exsiccate	exsiccates	exsiccating	exsiccated
dehydrate	dehydrates	dehydrating	dehydrated
desiccate	desiccates	desiccating	desiccated
freeze-dry	freeze-dries	freeze-drying	freeze-dried
conserve	conserves	conserving	conserved
lyophilize	lyophilizes	lyophilizing	lyophilized
lyophilise	lyophilises	lyophilising	lyophilised
preserve	preserves	preserving	preserved
keep	keeps	keeping	kept
tin	tins	tinning	tinned
pickle	pickles	pickling	pickled
salt	salts	salting	salted
marinade	marinades	marinading	marinaded
marinate	marinates	marinating	marinated
decoct	decocts	decocting	decocted
can	could	can't	couldn't
hydrate	hydrates	hydrating	hydrated
slack	slacks	slacking	slacked
slake	slakes	slaking	slaked
air-slake	air-slakes	air-slaking	air-slaked
bedew	bedews	bedewing	bedewed
spin-dry	spin-dries	spin-drying	spin-dried
spray-dry	spray-dries	spray-drying	spray-dried
humidify	humidifies	humidifying	humidified
moisturize	moisturizes	moisturizing	moisturized
moisturise	moisturises	moisturising	moisturised
dehumidify	dehumidifies	dehumidifying	dehumidified
drench	drenches	drenching	drenched
douse	douses	dousing	doused
dowse	dowses	dowsing	dowsed
soak	soaks	soaking	soaked
sop	sops	sopping	sopped
souse	souses	sousing	soused
brine	brines	brining	brined
bedraggle	bedraggles	bedraggling	bedraggled
draggle	draggles	draggling	draggled
bate	bates	bating	bated
ret	rets	retting	retted
flood	floods	flooding	flooded
lap	laps	lapping	lapped
inundate	inundates	inundating	inundated
deluge	deluges	deluging	deluged
submerge	submerges	submerging	submerged
moisten	moistens	moistening	moistened
dampen	dampens	dampening	dampened
moil	moils	moiling	moiled
